id,price_eur,price_eur_foil,price_tix,price_usd,price_usd_foil,mana_cost_id,type_line_id,power_toughness_or_loyalty_id,artist_id,set_code_id,rarity_id,language_id,finishes_id,legalities_id
1,0.84,0.94,1.26,1.1,1.1,58,194,34,112,107,3,1,1,29
2,0.2,0.34,0.04,0.15,0.36,28,194,20,214,107,4,1,2,29
3,3,3.76,0.1,12.87,2.72,20,194,15,209,106,3,1,2,4
4,0.24,0.37,0.79,0.1,0.33,52,30,11,12,20,1,1,2,34
5,0.17,0.15,0.04,0.1,0.23,55,145,21,93,107,1,1,2,28
6,0.08,0.3,0.04,0.12,0.29,55,76,14,97,47,1,1,2,30
7,0.07,0.06,0.03,0.1,0.18,45,160,17,139,100,4,1,2,4
8,0.14,0.05,0.04,0.17,0.15,52,89,20,177,45,4,1,2,21
9,0.63,0.82,0.02,1.01,0.72,105,180,8,156,33,3,1,2,3
10,0.06,0.1,0.01,0.2,0.28,48,187,28,186,78,4,1,2,3
11,0.26,20.38,0.02,0.43,22.53,72,213,21,41,81,3,1,2,38
12,0.13,0.18,0.03,0.27,0.28,103,39,14,56,100,4,1,2,4
13,0.28,0.23,0.02,0.29,0.36,20,219,14,218,53,3,1,2,7
14,0.09,0.21,0.03,0.17,0.4,19,33,8,88,99,4,1,2,32
15,0.07,0.09,0.03,0.24,0.25,62,79,40,165,53,4,1,2,8
16,0.44,0.58,0.02,1.57,0.42,4,37,20,62,37,3,1,2,3
17,123.18,3.24,0.11,67.06,13.77,25,36,40,36,44,3,1,2,32
18,0.1,0.3,0.03,0.24,0.16,25,148,15,48,72,4,1,2,32
19,0.43,1.18,0.02,0.69,2.73,4,79,14,119,40,3,1,2,32
20,0.35,0.41,0.08,0.16,0.95,29,44,13,227,39,4,1,2,20
21,0.06,0.07,0.03,0.12,0.22,3,42,13,77,103,1,1,2,2
22,0.12,0.17,0.03,0.22,0.49,57,108,28,205,52,1,1,2,11
23,0.04,0.13,0.05,0.08,0.1,45,108,21,44,39,4,1,2,21
24,0.08,0.25,0.03,0.04,0.1,55,31,14,163,39,1,1,2,18
