column,code,value
mana_cost,1,{1}
mana_cost,2,{1} {B/R} {B/R} {B/R}
mana_cost,3,{1} {B}
mana_cost,4,{1} {B} {B}
mana_cost,5,{1} {B} {R}
mana_cost,6,{1} {G/W} {G/W}
mana_cost,7,{1} {G}
mana_cost,8,{1} {G} {G}
mana_cost,9,{1} {G} {U}
mana_cost,10,{1} {G} {W}
mana_cost,11,{1} {R}
mana_cost,12,{1} {R} {R}
mana_cost,13,{1} {R} {W}
mana_cost,14,{1} {U}
mana_cost,15,{1} {U} {B}
mana_cost,16,{1} {U} {R}
mana_cost,17,{1} {U} {R} {W}
mana_cost,18,{1} {U} {U}
mana_cost,19,{1} {W}
mana_cost,20,{1} {W} {U}
mana_cost,21,{1} {W} {W}
mana_cost,22,{1} {W} {W} {W}
mana_cost,23,{2}
mana_cost,24,{2} {B}
mana_cost,25,{2} {B} {B}
mana_cost,26,{2} {B} {G}
mana_cost,27,{2} {B} {R}
mana_cost,28,{2} {G/W}
mana_cost,29,{2} {G}
mana_cost,30,{2} {G} {G} {W} {W}
mana_cost,31,{2} {G} {W}
mana_cost,32,{2} {R}
mana_cost,33,{2} {R} {G}
mana_cost,34,{2} {R} {R}
mana_cost,35,{2} {R} {W}
mana_cost,36,{2} {U}
mana_cost,37,{2} {U} {U}
mana_cost,38,{2} {W}
mana_cost,39,{2} {W} {B}
mana_cost,40,{2} {W} {B} {G}
mana_cost,41,{2} {W} {W}
mana_cost,42,{3}
mana_cost,43,{3} {B}
mana_cost,44,{3} {B} {B}
mana_cost,45,{3} {G}
mana_cost,46,{3} {G} {G}
mana_cost,47,{3} {G} {W} {U}
mana_cost,48,{3} {R/G}
mana_cost,49,{3} {R}
mana_cost,50,{3} {R} {R}
mana_cost,51,{3} {R} {W}
mana_cost,52,{3} {U}
mana_cost,53,{3} {U} {R}
mana_cost,54,{3} {U} {U}
mana_cost,55,{3} {W}
mana_cost,56,{3} {W} {B}
mana_cost,57,{3} {W} {B} {G}
mana_cost,58,{3} {W} {W}
mana_cost,59,{3} {W} {W} {B} {B}
mana_cost,60,{4}
mana_cost,61,{4} {B}
mana_cost,62,{4} {B} {B}
mana_cost,63,{4} {G}
mana_cost,64,{4} {G} {G}
mana_cost,65,{4} {G} {G} {G}
mana_cost,66,{4} {G} {W}
mana_cost,67,{4} {R}
mana_cost,68,{4} {R} {R}
mana_cost,69,{4} {R} {R} {R}
mana_cost,70,{4} {U}
mana_cost,71,{4} {U} {R}
mana_cost,72,{4} {U} {U}
mana_cost,73,{4} {W}
mana_cost,74,{4} {W} {W}
mana_cost,75,{4} {W} {W} {B} {B}
mana_cost,76,{5}
mana_cost,77,{5} {B}
mana_cost,78,{5} {B} {B}
mana_cost,79,{5} {G}
mana_cost,80,{5} {G} {G}
mana_cost,81,{5} {G} {W}
mana_cost,82,{5} {R}
mana_cost,83,{5} {R} {R}
mana_cost,84,{5} {U} {U}
mana_cost,85,{5} {W}
mana_cost,86,{5} {W} {W}
mana_cost,87,{6}
mana_cost,88,{6} {B} {B}
mana_cost,89,{6} {G} {G}
mana_cost,90,{6} {R} {R}
mana_cost,91,{6} {W}
mana_cost,92,{7}
mana_cost,93,{B/R} {B/R} {B/R}
mana_cost,94,{B}
mana_cost,95,{B} {B} {R} {R}
mana_cost,96,{G}
mana_cost,97,{G} {U}
mana_cost,98,{G} {W}
mana_cost,99,{R}
mana_cost,100,{R} {W}
mana_cost,101,{U}
mana_cost,102,{U} {B} {R}
mana_cost,103,{U} {U/R} {R}
mana_cost,104,{U} {U}
mana_cost,105,{W/B} {W/B}
mana_cost,106,{W}
mana_cost,107,{W} {B} {G}
mana_cost,108,{W} {W}
mana_cost,109,{W} {W} {W} {W} {W}
type_line,1,Artifact Creature — Assembly-Worker
type_line,2,Artifact Creature — Bird
type_line,3,Artifact Creature — Bird Construct
type_line,4,Artifact Creature — Cat
type_line,5,Artifact Creature — Construct
type_line,6,Artifact Creature — Equipment Octopus
type_line,7,Artifact Creature — Gnome
type_line,8,Artifact Creature — Golem
type_line,9,Artifact Creature — Phyrexian Cleric
type_line,10,Artifact Creature — Phyrexian Construct
type_line,11,Artifact Creature — Robot Villain
type_line,12,Artifact Creature — Scarecrow
type_line,13,Artifact Creature — Shapeshifter
type_line,14,Artifact Creature — Spider
type_line,15,Artifact Creature — Thopter
type_line,16,Artifact Creature — Wall
type_line,17,Artifact — Vehicle
type_line,18,Creature — Aetherborn Artificer
type_line,19,Creature — Aetherborn Rogue
type_line,20,Creature — Angel
type_line,21,Creature — Angel Advisor
type_line,22,Creature — Angel Ally
type_line,23,Creature — Angel Soldier
type_line,24,Creature — Angel Spirit
type_line,25,Creature — Archon
type_line,26,Creature — Armadillo
type_line,27,Creature — Bear
type_line,28,Creature — Beast
type_line,29,Creature — Bird
type_line,30,Creature — Bird Rogue
type_line,31,Creature — Bird Soldier
type_line,32,Creature — Brushwagg
type_line,33,Creature — Cat Cleric
type_line,34,Creature — Cat Soldier
type_line,35,Creature — Crocodile
type_line,36,Creature — Demon
type_line,37,Creature — Demon Warlock
type_line,38,Creature — Dinosaur
type_line,39,Creature — Djinn Sorcerer
type_line,40,Creature — Dog
type_line,41,Creature — Dog Archer
type_line,42,Creature — Dog Cleric
type_line,43,Creature — Dog Scout
type_line,44,Creature — Dog Shaman
type_line,45,Creature — Dog Soldier
type_line,46,Creature — Dragon
type_line,47,Creature — Dragon Wizard
type_line,48,Creature — Drake
type_line,49,Creature — Drix Assassin
type_line,50,Creature — Drone
type_line,51,Creature — Dwarf Artificer
type_line,52,Creature — Dwarf Scout
type_line,53,Creature — Elemental
type_line,54,Creature — Elemental Beast
type_line,55,Creature — Elemental Dog
type_line,56,Creature — Elemental Knight
type_line,57,Creature — Elemental Ox
type_line,58,Creature — Elemental Warrior
type_line,59,Creature — Elephant
type_line,60,Creature — Elf Artificer
type_line,61,Creature — Elf Artificer Druid
type_line,62,Creature — Elf Druid
type_line,63,Creature — Elf Shaman
type_line,64,Creature — Eye Horror
type_line,65,Creature — Faerie
type_line,66,Creature — Frog Beast
type_line,67,Creature — Giant Soldier
type_line,68,Creature — Giant Warrior
type_line,69,Creature — Giant Wizard
type_line,70,Creature — Goblin Artificer
type_line,71,Creature — Goblin Rogue
type_line,72,Creature — Goblin Rogue Shaman
type_line,73,Creature — Goblin Samurai
type_line,74,Creature — Goblin Shaman
type_line,75,Creature — Goblin Warrior
type_line,76,Creature — Griffin
type_line,77,Creature — Halfling Cleric
type_line,78,Creature — Homunculus Mutant
type_line,79,Creature — Horror
type_line,80,Creature — Human
type_line,81,Creature — Human Advisor
type_line,82,Creature — Human Archer
type_line,83,Creature — Human Artificer Warrior
type_line,84,Creature — Human Assassin
type_line,85,Creature — Human Citizen
type_line,86,Creature — Human Cleric
type_line,87,Creature — Human Cleric Archer
type_line,88,Creature — Human Druid
type_line,89,Creature — Human Insect
type_line,90,Creature — Human Knight
type_line,91,Creature — Human Kor Soldier
type_line,92,Creature — Human Mercenary
type_line,93,Creature — Human Monk
type_line,94,Creature — Human Peasant
type_line,95,Creature — Human Rogue
type_line,96,Creature — Human Samurai
type_line,97,Creature — Human Scientist Villain
type_line,98,Creature — Human Scout
type_line,99,Creature — Human Shaman
type_line,100,Creature — Human Shaman Ally
type_line,101,Creature — Human Soldier
type_line,102,Creature — Human Soldier Knight
type_line,103,Creature — Human Spy Hero
type_line,104,Creature — Human Spy Villain
type_line,105,Creature — Human Survivor
type_line,106,Creature — Human Villain
type_line,107,Creature — Human Warlock
type_line,108,Creature — Human Warrior
type_line,109,Creature — Human Werewolf
type_line,110,Creature — Human Wizard
type_line,111,Creature — Illusion
type_line,112,Creature — Insect
type_line,113,Creature — Kavu
type_line,114,Creature — Kirin
type_line,115,Creature — Kithkin Cleric
type_line,116,Creature — Kithkin Rebel
type_line,117,Creature — Kithkin Rebel Scout
type_line,118,Creature — Kor Soldier
type_line,119,Creature — Leech
type_line,120,Creature — Lizard
type_line,121,Creature — Lizard Assassin
type_line,122,Creature — Lizard Beast
type_line,123,Creature — Merfolk Cleric
type_line,124,Creature — Minotaur Pilot
type_line,125,Creature — Minotaur Shaman
type_line,126,Creature — Minotaur Warrior
type_line,127,Creature — Monkey
type_line,128,Creature — Mouse
type_line,129,Creature — Nightmare
type_line,130,Creature — Nightmare Angel
type_line,131,Creature — Ogre Cleric
type_line,132,Creature — Ooze
type_line,133,Creature — Orc Cleric
type_line,134,Creature — Orc Warrior
type_line,135,Creature — Otter Wizard
